season,player_id,player_display_name,position,fantasy_points,games_in_data,targets_sum,carries_sum,pass_attempts_sum
2025,00-0037228,Jaylen Warren,RB,222.8,17,46.0,223.0,0.0
2025,00-0040734,TreVeyon Henderson,RB,222.10000000000002,21,48.0,210.0,0.0
2025,00-0036139,Rico Dowdle,RB,218.8,18,52.0,241.0,0.0
2025,00-0038120,Breece Hall,RB,207.66,16,48.0,243.0,1.0
2025,00-0035261,Tony Pollard,RB,185.8,17,41.0,242.0,0.0
2025,00-0037744,Trey McBride,TE,315.90000000000003,17,169.0,0.0,0.0
2025,00-0036970,Kyle Pitts,TE,210.8,17,118.0,0.0,0.0
2025,00-0033090,Hunter Henry,TE,205.0,21,102.0,0.0,0.0
2025,00-0034351,Dallas Goedert,TE,204.5,16,89.0,1.0,0.0
2025,00-0040126,Colston Loveland,TE,196.4,18,107.0,1.0,0.0
2025,00-0030506,Travis Kelce,TE,191.20000000000002,17,108.0,1.0,0.0
2025,00-0034383,Dalton Schultz,TE,188.60000000000002,19,112.0,0.0,0.0
2025,00-0040128,Tyler Warren,TE,188.5,17,112.0,6.0,1.0
2025,00-0040663,Harold Fannin Jr.,TE,186.4,16,107.0,7.0,0.0
2025,00-0038041,Jake Ferguson,TE,186.1,17,102.0,1.0,0.0
2025,00-0036040,Juwan Johnson,TE,179.9,17,102.0,0.0,0.0
2025,00-0039338,Brock Bowers,TE,174.2,12,86.0,2.0,0.0
2025,00-0039793,AJ Barner,TE,166.20000000000002,20,75.0,11.0,0.0
2025,00-0033288,George Kittle,TE,163.1,12,71.0,1.0,0.0
2025,00-0036244,Colby Parkinson,TE,159.0,17,70.0,0.0,0.0
2025,00-0038933,Dalton Kincaid,TE,158.20000000000002,14,60.0,0.0,0.0
2025,00-0040189,Oronde Gadsden II,TE,137.4,16,72.0,0.0,0.0
2025,00-0034753,Mark Andrews,TE,131.0,17,70.0,10.0,0.0
2025,00-0039847,Theo Johnson,TE,127.8,15,74.0,0.0,0.0
2025,00-0030061,Zach Ertz,TE,124.4,13,72.0,0.0,0.0
2025,00-0037809,Chig Okonkwo,TE,124.0,17,79.0,0.0,0.0
2025,00-0038129,Cade Otton,TE,122.2,15,81.0,0.0,0.0
2025,00-0038935,Brenton Strange,TE,120.9,13,65.0,0.0,0.0
2025,00-0038996,Tucker Kraft,TE,117.19999999999999,8,44.0,1.0,0.0
2025,00-0039075,Puka Nacua,WR,452.6,19,208.0,16.0,0.0
2025,00-0038543,Jaxon Smith-Njigba,WR,408.8,20,189.0,7.0,0.0
2025,00-0036963,Amon-Ra St. Brown,WR,324.0,17,172.0,3.0,0.0
2025,00-0036900,Ja'Marr Chase,WR,313.6,16,185.0,3.0,0.0
2025,00-0037247,George Pickens,WR,289.9,17,137.0,0.0,0.0
2025,00-0037239,Chris Olave,WR,268.0,16,156.0,1.0,1.0
2025,00-0031381,Davante Adams,WR,258.40000000000003,17,139.0,0.0,0.0
2025,00-0039064,Zay Flowers,WR,243.3,17,118.0,10.0,0.0
2025,00-0031588,Stefon Diggs,WR,241.3,21,122.0,0.0,0.0
2025,00-0034348,Courtland Sutton,WR,237.70000000000002,19,138.0,0.0,0.0
2025,00-0036554,Nico Collins,WR,229.3,16,127.0,2.0,0.0
2025,00-0040124,Tetairoa McMillan,WR,226.5,18,129.0,0.0,0.0
2025,00-0035676,A.J. Brown,WR,225.8,16,128.0,0.0,0.0
2025,00-0038559,Michael Wilson,WR,220.6,17,126.0,0.0,0.0
2025,00-0037240,Jameson Williams,WR,219.9,17,102.0,6.0,0.0
2025,00-0038117,Wan'Dale Robinson,WR,217.9,16,140.0,3.0,0.0
2025,00-0036912,DeVonta Smith,WR,216.79999999999998,18,124.0,0.0,0.0
2025,00-0036410,Tee Higgins,WR,209.6,15,98.0,0.0,0.0
2025,00-0034827,DJ Moore,WR,207.08,19,100.0,17.0,1.0
2025,00-0036322,Justin Jefferson,WR,201.5,17,141.0,2.0,0.0
2025,00-0037261,Khalil Shakir,WR,201.1,18,116.0,1.0,0.0
2025,00-0036358,CeeDee Lamb,WR,200.9,13,117.0,1.0,0.0
2025,00-0036252,Michael Pittman,WR,200.4,17,111.0,0.0,0.0
2025,00-0037238,Drake London,WR,199.9,12,112.0,0.0,0.0
